id,data,moeda_origem,moeda_destino,taxa_cambio
1,2023-01-01,6,1,5.3
2,2023-01-01,5,1,5.769083
3,2023-01-01,9,1,0.779732
4,2023-01-01,10,6,0.007787
5,2023-01-01,15,1,0.006281
6,2023-01-01,18,1,1.420835
7,2023-01-02,6,1,5.310566
8,2023-01-02,5,1,5.776464
9,2023-01-02,9,1,0.779784
10,2023-01-02,10,6,0.007776
11,2023-01-02,15,1,0.006264
12,2023-01-02,18,1,1.416912
13,2023-01-03,6,1,5.321063
14,2023-01-03,5,1,5.783352
15,2023-01-03,9,1,0.779753
16,2023-01-03,10,6,0.007765
17,2023-01-03,15,1,0.006247
18,2023-01-03,18,1,1.41309
19,2023-01-04,6,1,5.331454
20,2023-01-04,5,1,5.789721
21,2023-01-04,9,1,0.779638
22,2023-01-04,10,6,0.007753
23,2023-01-04,15,1,0.00623
24,2023-01-04,18,1,1.409385
25,2023-01-05,6,1,5.341704
26,2023-01-05,5,1,5.795545
27,2023-01-05,9,1,0.779439
28,2023-01-05,10,6,0.00774
29,2023-01-05,15,1,0.006212
30,2023-01-05,18,1,1.405809
31,2023-01-06,6,1,5.351776
32,2023-01-06,5,1,5.800798
33,2023-01-06,9,1,0.779157
34,2023-01-06,10,6,0.007726
35,2023-01-06,15,1,0.006194
36,2023-01-06,18,1,1.402377
37,2023-01-07,6,1,5.361636
38,2023-01-07,5,1,5.805459
39,2023-01-07,9,1,0.778793
40,2023-01-07,10,6,0.007711
41,2023-01-07,15,1,0.006176
42,2023-01-07,18,1,1.399102
43,2023-01-08,6,1,5.371248
44,2023-01-08,5,1,5.809507
45,2023-01-08,9,1,0.778346
46,2023-01-08,10,6,0.007695
47,2023-01-08,15,1,0.006158
48,2023-01-08,18,1,1.395997
49,2023-01-09,6,1,5.380579
50,2023-01-09,5,1,5.812924
51,2023-01-09,9,1,0.777819
52,2023-01-09,10,6,0.007679
53,2023-01-09,15,1,0.00614
54,2023-01-09,18,1,1.393072
55,2023-01-10,6,1,5.389595
56,2023-01-10,5,1,5.815693
57,2023-01-10,9,1,0.777213
58,2023-01-10,10,6,0.007663
59,2023-01-10,15,1,0.006123
60,2023-01-10,18,1,1.390339
61,2023-01-11,6,1,5.398266
62,2023-01-11,5,1,5.817802
63,2023-01-11,9,1,0.776528
64,2023-01-11,10,6,0.007645
65,2023-01-11,15,1,0.006105
66,2023-01-11,18,1,1.387809
67,2023-01-12,6,1,5.406559
68,2023-01-12,5,1,5.819237
69,2023-01-12,9,1,0.775768
70,2023-01-12,10,6,0.007628
71,2023-01-12,15,1,0.006088
72,2023-01-12,18,1,1.385491
73,2023-01-13,6,1,5.414446
74,2023-01-13,5,1,5.81999
75,2023-01-13,9,1,0.774935
76,2023-01-13,10,6,0.00761
77,2023-01-13,15,1,0.006071
78,2023-01-13,18,1,1.383394
79,2023-01-14,6,1,5.421897
80,2023-01-14,5,1,5.820054
81,2023-01-14,9,1,0.774031
82,2023-01-14,10,6,0.007591
83,2023-01-14,15,1,0.006055
84,2023-01-14,18,1,1.381526
85,2023-01-15,6,1,5.428887
86,2023-01-15,5,1,5.819424
87,2023-01-15,9,1,0.773059
88,2023-01-15,10,6,0.007572
89,2023-01-15,15,1,0.006039
90,2023-01-15,18,1,1.379896
91,2023-01-16,6,1,5.435389
92,2023-01-16,5,1,5.818097
93,2023-01-16,9,1,0.772022
94,2023-01-16,10,6,0.007554
95,2023-01-16,15,1,0.006024
96,2023-01-16,18,1,1.378508
97,2023-01-17,6,1,5.441379
98,2023-01-17,5,1,5.816074
99,2023-01-17,9,1,0.770923
100,2023-01-17,10,6,0.007534
101,2023-01-17,15,1,0.006009
102,2023-01-17,18,1,1.377369
103,2023-01-18,6,1,5.446837
104,2023-01-18,5,1,5.813358
105,2023-01-18,9,1,0.769766
106,2023-01-18,10,6,0.007515
107,2023-01-18,15,1,0.005996
108,2023-01-18,18,1,1.376484
109,2023-01-19,6,1,5.45174
110,2023-01-19,5,1,5.809953
111,2023-01-19,9,1,0.768554
112,2023-01-19,10,6,0.007496
113,2023-01-19,15,1,0.005982
114,2023-01-19,18,1,1.375855
115,2023-01-20,6,1,5.456071
116,2023-01-20,5,1,5.805866
117,2023-01-20,9,1,0.767292
118,2023-01-20,10,6,0.007477
119,2023-01-20,15,1,0.00597
120,2023-01-20,18,1,1.375487
121,2023-01-21,6,1,5.459812
122,2023-01-21,5,1,5.801108
123,2023-01-21,9,1,0.765983
124,2023-01-21,10,6,0.007458
125,2023-01-21,15,1,0.005958
126,2023-01-21,18,1,1.375381
127,2023-01-22,6,1,5.46295
128,2023-01-22,5,1,5.795689
129,2023-01-22,9,1,0.764632
130,2023-01-22,10,6,0.00744
131,2023-01-22,15,1,0.005948
132,2023-01-22,18,1,1.375537
133,2023-01-23,6,1,5.465471
134,2023-01-23,5,1,5.789625
135,2023-01-23,9,1,0.763242
136,2023-01-23,10,6,0.007421
137,2023-01-23,15,1,0.005938
138,2023-01-23,18,1,1.375956
139,2023-01-24,6,1,5.467365
140,2023-01-24,5,1,5.782931
141,2023-01-24,9,1,0.76182
142,2023-01-24,10,6,0.007403
143,2023-01-24,15,1,0.005929
144,2023-01-24,18,1,1.376638
145,2023-01-25,6,1,5.468623
146,2023-01-25,5,1,5.775627
147,2023-01-25,9,1,0.760369
148,2023-01-25,10,6,0.007385
149,2023-01-25,15,1,0.005921
150,2023-01-25,18,1,1.377579
151,2023-01-26,6,1,5.469239
152,2023-01-26,5,1,5.767732
153,2023-01-26,9,1,0.758894
154,2023-01-26,10,6,0.007368
155,2023-01-26,15,1,0.005915
156,2023-01-26,18,1,1.378777
157,2023-01-27,6,1,5.469208
158,2023-01-27,5,1,5.759271
159,2023-01-27,9,1,0.7574
160,2023-01-27,10,6,0.007352
161,2023-01-27,15,1,0.005909
162,2023-01-27,18,1,1.380229
163,2023-01-28,6,1,5.468528
164,2023-01-28,5,1,5.750267
165,2023-01-28,9,1,0.755892
166,2023-01-28,10,6,0.007336
167,2023-01-28,15,1,0.005904
168,2023-01-28,18,1,1.38193
169,2023-01-29,6,1,5.4672
170,2023-01-29,5,1,5.740748
171,2023-01-29,9,1,0.754375
172,2023-01-29,10,6,0.00732
173,2023-01-29,15,1,0.005901
174,2023-01-29,18,1,1.383874
175,2023-01-30,6,1,5.465224
176,2023-01-30,5,1,5.730742
177,2023-01-30,9,1,0.752855
178,2023-01-30,10,6,0.007306
179,2023-01-30,15,1,0.005899
180,2023-01-30,18,1,1.386054
181,2023-01-31,6,1,5.462607
182,2023-01-31,5,1,5.720278
183,2023-01-31,9,1,0.751336
184,2023-01-31,10,6,0.007292
185,2023-01-31,15,1,0.005898
186,2023-01-31,18,1,1.388464
187,2023-02-01,6,1,5.459353
188,2023-02-01,5,1,5.709389
189,2023-02-01,9,1,0.749823
190,2023-02-01,10,6,0.007279
191,2023-02-01,15,1,0.005898
192,2023-02-01,18,1,1.391095
193,2023-02-02,6,1,5.455473
194,2023-02-02,5,1,5.698109
195,2023-02-02,9,1,0.748321
196,2023-02-02,10,6,0.007267
197,2023-02-02,15,1,0.005899
198,2023-02-02,18,1,1.393939
199,2023-02-03,6,1,5.450976
200,2023-02-03,5,1,5.686471
201,2023-02-03,9,1,0.746836
202,2023-02-03,10,6,0.007256
203,2023-02-03,15,1,0.005901
204,2023-02-03,18,1,1.396985
205,2023-02-04,6,1,5.445875
206,2023-02-04,5,1,5.674511
207,2023-02-04,9,1,0.745373
208,2023-02-04,10,6,0.007246
209,2023-02-04,15,1,0.005905
210,2023-02-04,18,1,1.400223
211,2023-02-05,6,1,5.440185
212,2023-02-05,5,1,5.662267
213,2023-02-05,9,1,0.743936
214,2023-02-05,10,6,0.007237
215,2023-02-05,15,1,0.00591
216,2023-02-05,18,1,1.403641
217,2023-02-06,6,1,5.433922
218,2023-02-06,5,1,5.649777
219,2023-02-06,9,1,0.742531
220,2023-02-06,10,6,0.007229
221,2023-02-06,15,1,0.005916
222,2023-02-06,18,1,1.407229
223,2023-02-07,6,1,5.427106
224,2023-02-07,5,1,5.63708
225,2023-02-07,9,1,0.741162
226,2023-02-07,10,6,0.007222
227,2023-02-07,15,1,0.005923
228,2023-02-07,18,1,1.410973
229,2023-02-08,6,1,5.419758
230,2023-02-08,5,1,5.624215
231,2023-02-08,9,1,0.739833
232,2023-02-08,10,6,0.007216
233,2023-02-08,15,1,0.005931
234,2023-02-08,18,1,1.414861
235,2023-02-09,6,1,5.411898
236,2023-02-09,5,1,5.611223
237,2023-02-09,9,1,0.738551
238,2023-02-09,10,6,0.007211
239,2023-02-09,15,1,0.005941
240,2023-02-09,18,1,1.418878
241,2023-02-10,6,1,5.403551
242,2023-02-10,5,1,5.598144
243,2023-02-10,9,1,0.737318
244,2023-02-10,10,6,0.007208
245,2023-02-10,15,1,0.005951
246,2023-02-10,18,1,1.423011
247,2023-02-11,6,1,5.394744
248,2023-02-11,5,1,5.58502
249,2023-02-11,9,1,0.736139
250,2023-02-11,10,6,0.007205
251,2023-02-11,15,1,0.005963
252,2023-02-11,18,1,1.427246
253,2023-02-12,6,1,5.385503
254,2023-02-12,5,1,5.571893
255,2023-02-12,9,1,0.735019
256,2023-02-12,10,6,0.007204
257,2023-02-12,15,1,0.005975
258,2023-02-12,18,1,1.431566
259,2023-02-13,6,1,5.375856
260,2023-02-13,5,1,5.558802
261,2023-02-13,9,1,0.73396
262,2023-02-13,10,6,0.007204
263,2023-02-13,15,1,0.005989
264,2023-02-13,18,1,1.435958
265,2023-02-14,6,1,5.365834
266,2023-02-14,5,1,5.545791
267,2023-02-14,9,1,0.732968
268,2023-02-14,10,6,0.007206
269,2023-02-14,15,1,0.006003
270,2023-02-14,18,1,1.440404
271,2023-02-15,6,1,5.355467
272,2023-02-15,5,1,5.5329
273,2023-02-15,9,1,0.732045
274,2023-02-15,10,6,0.007208
275,2023-02-15,15,1,0.006018
276,2023-02-15,18,1,1.444891
277,2023-02-16,6,1,5.344789
278,2023-02-16,5,1,5.520169
279,2023-02-16,9,1,0.731194
280,2023-02-16,10,6,0.007212
281,2023-02-16,15,1,0.006035
282,2023-02-16,18,1,1.449401
283,2023-02-17,6,1,5.333833
284,2023-02-17,5,1,5.50764
285,2023-02-17,9,1,0.730419
286,2023-02-17,10,6,0.007217
287,2023-02-17,15,1,0.006052
288,2023-02-17,18,1,1.453919
289,2023-02-18,6,1,5.322633
290,2023-02-18,5,1,5.495351
291,2023-02-18,9,1,0.729722
292,2023-02-18,10,6,0.007224
293,2023-02-18,15,1,0.00607
294,2023-02-18,18,1,1.458428
295,2023-02-19,6,1,5.311223
296,2023-02-19,5,1,5.483341
297,2023-02-19,9,1,0.729106
298,2023-02-19,10,6,0.007231
299,2023-02-19,15,1,0.006088
300,2023-02-19,18,1,1.462912
301,2023-02-20,6,1,5.299641
302,2023-02-20,5,1,5.47165
303,2023-02-20,9,1,0.728573
304,2023-02-20,10,6,0.00724
305,2023-02-20,15,1,0.006107
306,2023-02-20,18,1,1.467355
307,2023-02-21,6,1,5.287921
308,2023-02-21,5,1,5.460312
309,2023-02-21,9,1,0.728124
310,2023-02-21,10,6,0.00725
311,2023-02-21,15,1,0.006127
312,2023-02-21,18,1,1.471741
313,2023-02-22,6,1,5.276102
314,2023-02-22,5,1,5.449365
315,2023-02-22,9,1,0.727763
316,2023-02-22,10,6,0.007261
317,2023-02-22,15,1,0.006147
318,2023-02-22,18,1,1.476055
319,2023-02-23,6,1,5.264219
320,2023-02-23,5,1,5.438843
321,2023-02-23,9,1,0.727489
322,2023-02-23,10,6,0.007273
323,2023-02-23,15,1,0.006168
324,2023-02-23,18,1,1.48028
325,2023-02-24,6,1,5.252311
326,2023-02-24,5,1,5.428778
327,2023-02-24,9,1,0.727305
328,2023-02-24,10,6,0.007286
329,2023-02-24,15,1,0.006189
330,2023-02-24,18,1,1.484401
331,2023-02-25,6,1,5.240415
332,2023-02-25,5,1,5.419203
333,2023-02-25,9,1,0.727211
334,2023-02-25,10,6,0.0073
335,2023-02-25,15,1,0.00621
336,2023-02-25,18,1,1.488404
337,2023-02-26,6,1,5.228567
338,2023-02-26,5,1,5.410147
339,2023-02-26,9,1,0.727207
340,2023-02-26,10,6,0.007315
341,2023-02-26,15,1,0.006232
342,2023-02-26,18,1,1.492272
343,2023-02-27,6,1,5.216806
344,2023-02-27,5,1,5.401639
345,2023-02-27,9,1,0.727294
346,2023-02-27,10,6,0.007332
347,2023-02-27,15,1,0.006254
348,2023-02-27,18,1,1.495993
349,2023-02-28,6,1,5.205167
350,2023-02-28,5,1,5.393704
351,2023-02-28,9,1,0.727472
352,2023-02-28,10,6,0.007349
353,2023-02-28,15,1,0.006275
354,2023-02-28,18,1,1.499553
355,2023-03-01,6,1,5.193687
356,2023-03-01,5,1,5.386368
357,2023-03-01,9,1,0.727739
358,2023-03-01,10,6,0.007366
359,2023-03-01,15,1,0.006297
360,2023-03-01,18,1,1.502937
361,2023-03-02,6,1,5.182402
362,2023-03-02,5,1,5.379653
363,2023-03-02,9,1,0.728096
364,2023-03-02,10,6,0.007385
365,2023-03-02,15,1,0.006319
366,2023-03-02,18,1,1.506134
367,2023-03-03,6,1,5.171347
368,2023-03-03,5,1,5.37358
369,2023-03-03,9,1,0.728542
370,2023-03-03,10,6,0.007405
371,2023-03-03,15,1,0.006341
372,2023-03-03,18,1,1.509131
373,2023-03-04,6,1,5.160556
374,2023-03-04,5,1,5.368166
375,2023-03-04,9,1,0.729075
376,2023-03-04,10,6,0.007425
377,2023-03-04,15,1,0.006363
378,2023-03-04,18,1,1.511917
379,2023-03-05,6,1,5.150062
380,2023-03-05,5,1,5.363429
381,2023-03-05,9,1,0.729693
382,2023-03-05,10,6,0.007445
383,2023-03-05,15,1,0.006384
384,2023-03-05,18,1,1.514481
385,2023-03-06,6,1,5.139898
386,2023-03-06,5,1,5.359381
387,2023-03-06,9,1,0.730396
388,2023-03-06,10,6,0.007467
389,2023-03-06,15,1,0.006405
390,2023-03-06,18,1,1.516814
391,2023-03-07,6,1,5.130094
392,2023-03-07,5,1,5.356035
393,2023-03-07,9,1,0.73118
394,2023-03-07,10,6,0.007488
395,2023-03-07,15,1,0.006426
396,2023-03-07,18,1,1.518905
397,2023-03-08,6,1,5.120681
398,2023-03-08,5,1,5.353399
