id,tipo_id,pais_origem,pais_destino,produto_id,valor_monetario,quantidade,transporte_id,cambio_id
1,1,1,14,1,800.0,22,1,1
2,2,6,25,4,1711.17,29,2,2
3,3,11,36,7,2622.34,36,3,3
4,4,16,7,10,3533.51,43,4,4
5,5,21,18,13,4444.68,50,5,5
6,6,26,29,16,5355.85,57,6,6
7,1,31,40,19,6266.02,64,1,1
8,2,36,11,22,7177.19,71,2,2
9,3,1,22,25,8088.36,78,3,3
10,4,6,33,28,8999.53,85,4,4
11,5,11,4,31,9910.7,92,5,5
12,6,16,15,34,10821.87,99,6,6
13,2,4,21,6,837.13,43,1,7
14,3,9,32,9,1748.3,57,2,8
15,4,14,3,12,2659.47,71,3,9
16,5,19,14,15,3570.64,85,4,10
17,6,24,25,18,4481.81,99,5,11
18,1,29,36,21,5392.98,113,6,12
19,2,34,7,24,6303.15,127,1,7
20,3,39,18,27,7214.32,141,2,8
21,4,4,29,30,8125.49,155,3,9
22,5,9,40,33,9036.66,169,4,10
23,6,14,11,36,9947.83,183,5,11
24,1,19,22,39,10858.0,197,6,12
25,3,7,28,11,874.26,64,1,13
26,4,12,39,14,1785.43,85,2,14
27,5,17,10,17,2696.6,106,3,15
28,6,22,21,20,3607.77,127,4,16
29,1,27,32,23,4518.94,148,5,17
30,2,32,3,26,5429.11,169,6,18
31,3,37,14,29,6340.28,190,1,13
32,4,2,25,32,7251.45,211,2,14
33,5,7,36,35,8162.62,232,3,15
34,6,12,7,38,9073.79,253,4,16
35,1,17,18,1,9984.96,274,5,17
36,2,22,29,4,10895.13,295,6,18
37,4,10,35,16,911.39,85,1,19
38,5,15,6,19,1822.56,113,2,20
39,6,20,17,22,2733.73,141,3,21
40,1,25,28,25,3644.9,169,4,22
41,2,30,39,28,4555.07,197,5,23
42,3,35,10,31,5466.24,225,6,24
43,4,40,21,34,6377.41,253,1,19
44,5,5,32,37,7288.58,281,2,20
45,6,10,3,40,8199.75,309,3,21
46,1,15,14,3,9110.92,337,4,22
47,2,20,25,6,10021.09,365,5,23
48,3,25,36,9,10932.26,393,6,24
49,5,13,2,21,948.52,106,1,25
50,6,18,13,24,1859.69,141,2,26
51,1,23,24,27,2770.86,176,3,27
52,2,28,35,30,3681.03,211,4,28
53,3,33,6,33,4592.2,246,5,29
54,4,38,17,36,5503.37,281,6,30
55,5,3,28,39,6414.54,316,1,25
56,6,8,39,2,7325.71,351,2,26
57,1,13,10,5,8236.88,386,3,27
58,2,18,21,8,9147.05,421,4,28
59,3,23,32,11,10058.22,456,5,29
60,4,28,3,14,10969.39,491,6,30
61,6,16,9,26,985.65,127,1,31
62,1,21,20,29,1896.82,169,2,32
63,2,26,31,32,2807.99,211,3,33
64,3,31,2,35,3718.16,253,4,34
65,4,36,13,38,4629.33,295,5,35
66,5,1,24,1,5540.5,337,6,36
67,6,6,35,4,6451.67,379,1,31
68,1,11,6,7,7362.84,421,2,32
69,2,16,17,10,8273.01,463,3,33
70,3,21,28,13,9184.18,505,4,34
71,4,26,39,16,10095.35,547,5,35
72,5,31,10,19,11006.52,589,6,36
73,1,19,16,31,1022.78,148,1,37
74,2,24,27,34,1933.95,197,2,38
75,3,29,38,37,2844.12,246,3,39
76,4,34,9,40,3755.29,295,4,40
77,5,39,20,3,4666.46,344,5,41
78,6,4,31,6,5577.63,393,6,42
79,1,9,2,9,6488.8,442,1,37
80,2,14,13,12,7399.97,491,2,38
81,3,19,24,15,8310.14,540,3,39
82,4,24,35,18,9221.31,589,4,40
83,5,29,6,21,10132.48,638,5,41
84,6,34,17,24,11043.65,687,6,42
85,2,22,23,36,1059.91,169,1,43
86,3,27,34,39,1970.08,225,2,44
87,4,32,5,2,2881.25,281,3,45
88,5,37,16,5,3792.42,337,4,46
89,6,2,27,8,4703.59,393,5,47
90,1,7,38,11,5614.76,449,6,48
91,2,12,9,14,6525.93,505,1,43
92,3,17,20,17,7436.1,561,2,44
93,4,22,31,20,8347.27,617,3,45
94,5,27,2,23,9258.44,673,4,46
95,6,32,13,26,10169.61,729,5,47
96,1,37,24,29,11080.78,785,6,48
97,3,25,30,1,1096.04,190,1,49
98,4,30,1,4,2007.21,253,2,50
99,5,35,12,7,2918.38,316,3,51
100,6,40,23,10,3829.55,379,4,52
101,1,5,34,13,4740.72,442,5,53
102,2,10,5,16,5651.89,505,6,54
103,3,15,16,19,6562.06,568,1,49
104,4,20,27,22,7473.23,631,2,50
105,5,25,38,25,8384.4,694,3,51
106,6,30,9,28,9295.57,757,4,52
107,1,35,20,31,10206.74,820,5,53
108,2,40,31,34,11117.91,883,6,54
109,4,28,37,6,1133.17,211,1,55
110,5,33,8,9,2044.34,281,2,56
111,6,38,19,12,2955.51,351,3,57
112,1,3,30,15,3866.68,421,4,58
113,2,8,1,18,4777.85,491,5,59
114,3,13,12,21,5688.02,561,6,60
115,4,18,23,24,6599.19,631,1,55
116,5,23,34,27,7510.36,701,2,56
117,6,28,5,30,8421.53,771,3,57
118,1,33,16,33,9332.7,841,4,58
119,2,38,27,36,10243.87,911,5,59
120,3,3,38,39,11154.04,981,6,60
121,5,31,4,11,1170.3,232,1,61
122,6,36,15,14,2081.47,309,2,62
123,1,1,26,17,2992.64,386,3,63
124,2,6,37,20,3903.81,463,4,64
125,3,11,8,23,4814.98,540,5,65
126,4,16,19,26,5725.15,617,6,66
127,5,21,30,29,6636.32,694,1,61
128,6,26,1,32,7547.49,771,2,62
129,1,31,12,35,8458.66,848,3,63
130,2,36,23,38,9369.83,925,4,64
131,3,1,34,1,10280.0,1002,5,65
132,4,6,5,4,11191.17,1079,6,66
133,6,34,11,16,1207.43,253,1,67
134,1,39,22,19,2118.6,337,2,68
135,2,4,33,22,3029.77,421,3,69
136,3,9,4,25,3940.94,505,4,70
137,4,14,15,28,4851.11,589,5,71
138,5,19,26,31,5762.28,673,6,72
