id_transacao,valor,valor_convertido,quantidade,data,id_pais_origem,id_produto
1,800.0,4240.0,22,2023-01-01,1,1
2,1711.17,9871.88175711,29,2023-01-01,6,4
3,2622.34,2044.72241288,36,2023-01-01,11,7
4,3533.51,27.51544237,43,2023-01-01,16,10
5,4444.68,27.91703508,50,2023-01-01,21,13
6,5355.85,7609.779134750001,57,2023-01-01,26,16
7,6266.02,33209.906,64,2023-01-01,31,19
8,7177.19,41405.80481677,71,2023-01-01,36,22
9,8088.36,6306.75311952,78,2023-01-01,1,25
10,8999.53,70.07934011,85,2023-01-01,6,28
11,9910.7,62.249106700000006,92,2023-01-01,11,31
12,10821.87,15376.091661450002,99,2023-01-01,16,34
13,837.13,4445.63411558,43,2023-01-02,4,6
14,1748.3,10098.9920112,57,2023-01-02,9,9
15,2659.47,2073.81215448,71,2023-01-02,14,12
16,3570.64,27.76529664,85,2023-01-02,19,15
17,4481.81,28.07405784,99,2023-01-02,24,18
18,5392.98,7641.378077759999,113,2023-01-02,29,21
19,6303.15,33473.29408289999,127,2023-01-02,34,24
20,7214.32,41673.25976448,141,2023-01-02,39,27
21,8125.49,6336.1270941600005,155,2023-01-02,4,30
22,9036.66,70.26906816,169,2023-01-02,9,33
23,9947.83,62.31320712,183,2023-01-02,14,36
24,10858.0,15384.830496,197,2023-01-02,19,39
25,874.26,4651.99253838,64,2023-01-03,7,11
26,1785.43,10325.77016136,85,2023-01-03,12,14
27,2696.6,2102.6819398,106,2023-01-03,17,17
28,3607.77,28.01433405,127,2023-01-03,22,20
29,4518.94,28.22981818,148,2023-01-03,27,23
30,5429.11,7671.8210499,169,2023-01-03,32,26
31,6340.28,33737.029317639994,190,2023-01-03,37,29
32,7251.45,41937.6878604,211,2023-01-03,2,32
33,8162.62,6364.82743286,232,2023-01-03,7,35
34,9073.79,70.45797935,253,2023-01-03,12,38
35,9984.96,62.37604511999999,274,2023-01-03,17,1
36,10895.13,15395.799251699998,295,2023-01-03,22,4
37,911.39,4859.03386106,85,2023-01-04,10,16
38,1822.56,10552.11390576,113,2023-01-04,15,19
39,2733.73,2131.31978974,141,2023-01-04,20,22
40,3644.9,28.2589097,169,2023-01-04,25,25
41,4555.07,28.3780861,197,2023-01-04,30,28
42,5466.24,7704.0366624,225,2023-01-04,35,31
43,6377.41,34000.868054139995,253,2023-01-04,40,34
44,7288.58,42198.84468618,281,2023-01-04,5,37
45,8199.75,6392.8366905,309,2023-01-04,10,40
46,9110.92,70.63696276,337,2023-01-04,15,3
47,10021.09,62.4313907,365,2023-01-04,20,6
48,10932.26,15407.763260100002,393,2023-01-04,25,9
49,948.52,5066.71307808,106,2023-01-05,13,21
50,1859.69,10777.91708105,141,2023-01-05,18,24
51,2770.86,2159.71634754,176,2023-01-05,23,27
52,3681.03,28.4911722,211,2023-01-05,28,30
53,4592.2,28.5267464,246,2023-01-05,33,33
54,5503.37,7736.68707633,281,2023-01-05,38,36
55,6414.54,34264.57397616,316,2023-01-05,3,39
56,7325.71,42456.48196195,351,2023-01-05,8,2
57,8236.88,6420.14551032,386,2023-01-05,13,5
58,9147.05,70.79816699999999,421,2023-01-05,18,8
59,10058.22,62.48166263999999,456,2023-01-05,23,11
60,10969.39,15420.86718651,491,2023-01-05,28,14
61,985.65,5274.9780144,127,2023-01-06,16,26
62,1896.82,11003.06966236,169,2023-01-06,21,29
63,2807.99,2187.86506443,211,2023-01-06,26,32
64,3718.16,28.72650416,253,2023-01-06,31,35
65,4629.33,28.67407002,295,2023-01-06,36,38
66,5540.5,7769.8697685,337,2023-01-06,1,1
67,6451.67,34527.89266592,379,2023-01-06,6,4
68,7362.84,42710.34754632,421,2023-01-06,11,7
69,8273.01,6445.97365257,463,2023-01-06,16,10
70,9184.18,70.95697468,505,2023-01-06,21,13
71,10095.35,62.5305979,547,2023-01-06,26,16
72,11006.52,15435.29049804,589,2023-01-06,31,19
73,1022.78,5483.77406808,148,2023-01-07,19,31
74,1933.95,11227.46743305,197,2023-01-07,24,34
75,2844.12,2214.98074716,246,2023-01-07,29,37
76,3755.29,28.95704119,295,2023-01-07,34,40
