id_transacao,quantidade_transacionada,valor_monetario_transacao,valor_convertido_transacao,taxa_cambio_transacao,sk_tempo,sk_pais_origem,sk_pais_destino,sk_produto,sk_categoria_produto,sk_moeda_origem,sk_moeda_destino,sk_tipo_transacao,sk_transporte
1,22,800.0,4240.0,5.3,1,1,1,1,1,1,1,1,1
2,29,1711.17,9871.88175711,5.769083,1,2,2,2,2,2,1,2,2
3,36,2622.34,2044.72241288,0.779732,1,3,3,3,3,3,1,3,3
4,43,3533.51,27.51544237,0.007787,1,4,4,4,4,4,2,4,4
5,50,4444.68,27.91703508,0.006281,1,5,5,5,5,5,1,5,5
6,57,5355.85,7609.779134750001,1.420835,1,6,6,6,1,6,1,6,6
7,64,6266.02,33209.906,5.3,1,7,7,7,2,1,1,1,1
8,71,7177.19,41405.80481677,5.769083,1,8,8,8,3,2,1,2,2
9,78,8088.36,6306.75311952,0.779732,1,1,9,9,4,3,1,3,3
10,85,8999.53,70.07934011,0.007787,1,2,10,10,5,4,2,4,4
11,92,9910.7,62.249106700000006,0.006281,1,3,11,11,1,5,1,5,5
12,99,10821.87,15376.091661450002,1.420835,1,4,12,12,2,6,1,6,6
13,43,837.13,4445.63411558,5.310566,2,9,13,13,1,1,1,2,1
14,57,1748.3,10098.9920112,5.776464,2,10,14,14,2,2,1,3,2
15,71,2659.47,2073.81215448,0.779784,2,11,15,15,3,3,1,4,3
16,85,3570.64,27.76529664,0.007776,2,12,1,16,4,4,2,5,4
17,99,4481.81,28.07405784,0.006264,2,13,2,17,5,5,1,6,5
18,113,5392.98,7641.378077759999,1.416912,2,14,3,18,1,6,1,1,6
19,127,6303.15,33473.29408289999,5.310566,2,15,4,19,2,1,1,2,1
20,141,7214.32,41673.25976448,5.776464,2,16,5,20,3,2,1,3,2
21,155,8125.49,6336.1270941600005,0.779784,2,9,6,21,4,3,1,4,3
22,169,9036.66,70.26906816,0.007776,2,10,7,22,5,4,2,5,4
23,183,9947.83,62.31320712,0.006264,2,11,8,23,1,5,1,6,5
24,197,10858.0,15384.830496,1.416912,2,12,9,24,2,6,1,1,6
25,64,874.26,4651.99253838,5.321063,3,17,16,25,1,1,1,3,1
26,85,1785.43,10325.77016136,5.783352,3,18,17,26,2,2,1,4,2
27,106,2696.6,2102.6819398,0.779753,3,19,18,27,3,3,1,5,3
28,127,3607.77,28.01433405,0.007765,3,20,13,28,4,4,2,6,4
29,148,4518.94,28.22981818,0.006247,3,21,14,29,5,5,1,1,5
30,169,5429.11,7671.8210499,1.41309,3,22,15,30,1,6,1,2,6
31,190,6340.28,33737.029317639994,5.321063,3,23,1,31,2,1,1,3,1
32,211,7251.45,41937.6878604,5.783352,3,24,2,32,3,2,1,4,2
33,232,8162.62,6364.82743286,0.779753,3,17,3,33,4,3,1,5,3
34,253,9073.79,70.45797935,0.007765,3,18,4,34,5,4,2,6,4
35,274,9984.96,62.37604511999999,0.006247,3,19,5,1,1,5,1,1,5
36,295,10895.13,15395.799251699998,1.41309,3,20,6,2,2,6,1,2,6
37,85,911.39,4859.03386106,5.331454,4,25,19,6,1,1,1,4,1
38,113,1822.56,10552.11390576,5.789721,4,26,20,7,2,2,1,5,2
39,141,2733.73,2131.31978974,0.779638,4,27,21,8,3,3,1,6,3
40,169,3644.9,28.2589097,0.007753,4,28,16,9,4,4,2,1,4
41,197,4555.07,28.3780861,0.00623,4,29,17,10,5,5,1,2,5
42,225,5466.24,7704.0366624,1.409385,4,30,18,11,1,6,1,3,6
43,253,6377.41,34000.868054139995,5.331454,4,31,13,12,2,1,1,4,1
44,281,7288.58,42198.84468618,5.789721,4,32,14,35,3,2,1,5,2
45,309,8199.75,6392.8366905,0.779638,4,25,15,36,4,3,1,6,3
46,337,9110.92,70.63696276,0.007753,4,26,1,37,5,4,2,1,4
47,365,10021.09,62.4313907,0.00623,4,27,2,13,1,5,1,2,5
48,393,10932.26,15407.763260100002,1.409385,4,28,3,14,2,6,1,3,6
49,106,948.52,5066.71307808,5.341704,5,33,22,18,1,1,1,5,1
50,141,1859.69,10777.91708105,5.795545,5,34,23,19,2,2,1,6,2
51,176,2770.86,2159.71634754,0.779439,5,35,24,20,3,3,1,1,3
52,211,3681.03,28.4911722,0.00774,5,36,19,21,4,4,2,2,4
53,246,4592.2,28.5267464,0.006212,5,37,20,22,5,5,1,3,5
54,281,5503.37,7736.68707633,1.405809,5,38,21,23,1,6,1,4,6
55,316,6414.54,34264.57397616,5.341704,5,39,16,24,2,1,1,5,1
56,351,7325.71,42456.48196195,5.795545,5,40,17,38,3,2,1,6,2
57,386,8236.88,6420.14551032,0.779439,5,33,18,39,4,3,1,1,3
58,421,9147.05,70.79816699999999,0.00774,5,34,13,40,5,4,2,2,4
59,456,10058.22,62.48166263999999,0.006212,5,35,14,25,1,5,1,3,5
60,491,10969.39,15420.86718651,1.405809,5,36,15,26,2,6,1,4,6
61,127,985.65,5274.9780144,5.351776,6,4,25,30,1,1,1,6,1
62,169,1896.82,11003.06966236,5.800798,6,5,26,31,2,2,1,1,2
63,211,2807.99,2187.86506443,0.779157,6,6,27,32,3,3,1,2,3
64,253,3718.16,28.72650416,0.007726,6,7,22,33,4,4,2,3,4
65,295,4629.33,28.67407002,0.006194,6,8,23,34,5,5,1,4,5
66,337,5540.5,7769.8697685,1.402377,6,1,24,1,1,6,1,5,6
67,379,6451.67,34527.89266592,5.351776,6,2,19,2,2,1,1,6,1
